Major_Group,Title,Deductive_Reasoning,Dynamic_Strength,Explosive_Strength,Fluency_of_Ideas,Inductive_Reasoning,Manual_Dexterity,Mathematical_Reasoning,Memorization,Oral_Comprehension,Oral_Expression,Perceptual_Speed,Reaction_Time,Selective_Attention,Stamina,Static_Strength,Visualization,Written_Comprehension,Written_Expression,ComplexProb,CritThink,Negotiation,Persuasion,SocPercept,TimeMgmt,Troubleshooting,NorthCarolina,SouthCarolina
25,"Engineering Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,3.75,2.88,4,4.38,2.62,1.12,3,1,1,3.12,4.12,3.88,2,2,2,2,1,2,1, ,102350
25,"English Language and Literature Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2,2.75,4.25,4.62,2,1,2.88,1,1,2,4.88,4.25,2,2,3,2,2,2,1,66770,72950
25,"Environmental Science Teachers, Postsecondary",4,1,1,3.12,4,1,3.12,2.75,4,4.38,2.25,1,2.88,1,1,2.12,4.12,4,2,2,2,2,1,1,1,83920,93570
25,"Family and Consumer Sciences Teachers, Postsecondary",3.62,1,1,3,3.5,1.12,2.75,2.75,4,4.12,2.25,1,2.75,1,1,2.25,4.12,4,2,2,1,2,2,1,1,78720,69860
25,Farm and Home Management Educators,4,1.75,1.5,3.5,4,2,3,3.12,4.12,4.5,2.88,1.88,3,1.75,1.75,3,4.12,4,2,2,3,3,2,2,1,62210, 
25,"Foreign Language and Literature Teachers, Postsecondary",3.38,1,1,2.88,3.62,1,2,2.88,4.12,4.25,2.12,1,3,1,1,2,4,4,2,2,2,2,2,1,1,67610,74710
25,"Forestry and Conservation Science Teachers, Postsecondary",3.75,1.38,1.38,3.12,3.75,1,3.25,2.75,4.12,4.75,2.38,1.62,2.88,1.38,1.62,2,4.25,4.12,2,2,3,2,2,2,1, ,106130
25,"Geography Teachers, Postsecondary",3.75,1,1,3.12,3.75,1,2.62,2.5,4,4.25,2.12,1,2.88,1,1,2.25,4,4.12,2,2,2,2,2,2,1,88700,93380
25,"Health Specialties Teachers, Postsecondary",3.88,1.75,1.38,3.12,3.75,1.62,2.88,2.88,4,4.75,2.12,1.5,3,1.62,1.75,2.12,4.12,4,2,2,3,2,2,2,1,157910,97120
25,"History Teachers, Postsecondary",3.88,1.25,1,3,3.88,1,2,2.88,4,4.75,2.12,1,3,1,1,2,4.12,4.38,2,2,3,2,2,2,1,79670,77970
25,Instructional Coordinators,3.88,1,1,3.62,3.75,1.25,3,3.12,4.12,4.25,2.62,1,3,1.38,1,3,4.38,4.25,2,2,3,3,2,2,1,65030,66420
25,"Kindergarten Teachers, Except Special Education",3.38,2,1.5,3.75,3.38,1.62,2.5,2.75,3.88,4.12,2.62,1,3.25,1.88,2.25,2.38,4,3.88,2,2,3,3,2,2,1,50610,58240
25,"Law Teachers, Postsecondary",4,1,1,3,4,1,2.12,2.62,4.12,4.62,2.25,1,2.62,1,1,2,4.38,4,2,2,2,2,2,1,1,140840,151670
25,Librarians and Media Collections Specialists,3.25,1.88,1.75,3,3.25,2.25,2.12,2.75,4.12,4.25,2.62,1.25,3,1.12,1.88,2.12,4.12,3.75,1,2,2,2,2,2,1,62070,60900
25,"Library Science Teachers, Postsecondary",3.88,1.38,1,2.88,3.88,1,2.25,2.88,4.25,4.25,2.25,1,2.88,1,1,2.12,4.25,4,2,2,2,2,2,1,1,79710,70110
25,Library Technicians,3,2.12,1.25,2.12,2.88,2.5,2,2.38,3.38,3.38,2.75,1.12,2.88,2,2.25,2,3.25,3,1,1,1,1,1,1,1,42900,35920
25,"Mathematical Science Teachers, Postsecondary",4,1,1,3.12,3.88,1,4.25,3,4,4.12,2.12,1,2.88,1,1,2.12,4,3.88,2,2,2,2,1,2,1,80910,74850
25,"Middle School Teachers, Except Special and Career/Technical Education",3.75,1,1,3.38,3.25,1.25,2.88,3,3.88,4.25,2.75,1,3,1.38,1,2.5,3.88,3.88,2,2,3,3,2,2,1,52350,60690
25,Museum Technicians and Conservators,3.25,2,1.25,3.25,3.12,3.12,2.25,2.75,3.62,3.75,2.88,1.75,3,1.88,2.75,3.25,3.5,3.5,2,2,2,1,1,1,1,40330,37720
25,"Nursing Instructors and Teachers, Postsecondary",3.88,2,1.5,3.12,3.88,2.12,3,2.75,4.12,4.12,2.88,1.5,3.12,2,2,2.12,4.12,4,2,2,3,3,2,2,2,82550,85470
25,"Philosophy and Religion Teachers, Postsecondary",3.88,1,1,3,4,1,2,3,4,4.12,2.25,1,2.5,1,1,2,4.12,4,2,2,1,2,2,1,1,86320,76690
25,"Physics Teachers, Postsecondary",3.88,1,1,3.25,3.88,2.12,3.88,2.88,4,4.38,2.25,1.5,2.88,1,1,2.38,4,4,2,2,2,2,2,2,2,99180,88620
25,"Political Science Teachers, Postsecondary",3.25,1.25,1,3,3.75,1,2,2.75,4.12,4.12,2.12,1,3,1,1,1.88,4.25,4,2,2,2,3,2,1,1,98060,85370
25,"Preschool Teachers, Except Special Education",3.5,2,1.38,3.62,3,2.12,2.38,2.75,4,4,2.62,1.25,2.88,2.38,2.12,2.62,3.62,3.12,1,2,2,2,2,1,1,33620,37960
25,"Psychology Teachers, Postsecondary",3.88,1,1,3.25,3.88,1,2.88,2.88,4,4.5,2.12,1,2.5,1,1.12,2.12,4.12,4.12,2,2,2,2,2,1,1,82820,79330
25,"Recreation and Fitness Studies Teachers, Postsecondary",3.75,1.38,1,3.25,3.75,1.12,2.5,2.62,4,4.12,2.12,1,3,1.62,1.38,2.12,4,4,2,2,3,3,2,2,1,70160,83500
25,"Secondary School Teachers, Except Special and Career/Technical Education",4,1,1,3.62,3.62,1.38,3,3,4.12,4.25,2.88,1,3,1.25,1,2.88,4,3.88,2,2,3,2,2,2,1,53840,61590
25,Self-Enrichment Teachers,3.12,1.75,1.25,3,3,1.88,2,2.5,3.88,4,2.12,1.25,2.62,1.88,1.75,2.5,3.12,3.12,1,2,1,2,2,1,1,45570,44700
25,"Social Work Teachers, Postsecondary",4,1,1,3.38,4,1,2.38,2.75,4,4.75,2,1,2.62,1,1,2,4,4,2,2,2,2,2,2,1,72690,99670
25,"Sociology Teachers, Postsecondary",3.88,1.12,1,3.12,4,1,2.12,2.25,4,4.5,2.12,1,2.62,1,1,1.88,4,4,2,2,2,2,2,2,1,82850,72160
25,"Special Education Teachers, Middle School",3.88,1.25,1.25,3.12,3.88,1.12,2.75,2.88,4,4,2.75,1,3.12,1.62,1,2.5,4.12,4,2,2,3,3,2,2,1,57060,64010
25,"Special Education Teachers, Preschool",3.88,2,1.75,3.25,3.75,2.12,2,2.5,4,4.12,2.5,1,3.38,2,2,2.25,4,3.75,2,2,2,2,2,2,1,54250,55680
25,"Special Education Teachers, Secondary School",3.75,1.25,2,3.75,3.75,1,2.88,2.88,4,4,2.75,1.38,3.25,1.88,2,2.62,4,4,2,2,3,3,2,2,1,54200,62960
25,"Teaching Assistants, Postsecondary",3.12,1,1,3.12,3.12,1.62,2.25,2.25,4.12,4.12,2.12,1,3,1,1,2.12,4,3.5,2,2,1,1,2,1,1,43280,34950
25,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3.38,2.25,2,3.25,3.12,2,2.62,2.62,3.75,3.75,2.75,1.12,2.88,2.38,2.12,2.75,3.75,3.5,2,2,2,2,2,2,1, , 
25,Tutors,3.38,1,1,3.38,3.38,1.62,2.88,2.88,4.12,4,2.25,1,3.12,1,1,2.12,4,4,2,2,3,2,2,2,1,44670,42090
43,Bill and Account Collectors,2.88,1.12,1,2.5,2.88,1.38,2.62,2.12,3.75,3.75,2.62,1,3,1,1,2.12,3.62,3.5,1,2,3,3,2,1,1,45930,42650
43,Billing and Posting Clerks,3.12,1.62,1,2.12,3,1.88,2.88,2.5,3.38,3.5,2.62,1,2.75,1,1,1.88,3.62,3.38,1,2,1,1,1,2,1,46200,43150
43,"Bookkeeping, Accounting, and Auditing Clerks",3,1.38,1,2.12,3.12,2,3.88,2.38,4,3.5,2.88,1,3,1,1,2,3.88,3.62,1,2,1,1,1,1,1,48170,47780
43,Brokerage Clerks,3.25,1,1,2.62,3.12,2,3.12,2.5,4,3.88,2.75,1,3.12,1,1,2.12,3.75,3.62,1,2,2,1,1,2,1,64360,56580
43,Cargo and Freight Agents,3,1.62,1.62,2.38,3,1.88,2.38,2.12,4,4,2.88,1.75,3,1.62,1.75,2.25,3.88,3.12,1,2,3,2,1,2,2,48190,54620
43,Correspondence Clerks,3.25,1.12,1,3,3.12,1.12,2.62,2.12,3.75,3.62,2.5,1,3,1,1,2,4,4.12,1,2,2,2,2,1,1,45680,42390
43,Couriers and Messengers,3,2.38,1.75,2.12,3,3.12,2.12,2.12,3.62,3.62,3,2.75,2.88,2.75,2.88,2.38,3.25,3.12,1,1,1,1,1,2,2,39110,33850
43,"Court, Municipal, and License Clerks",3.38,1.75,1,2.5,3.25,2.12,2.5,2.5,3.88,3.75,2.38,1.12,2.88,1,1,1.88,3.5,3.38,1,2,1,1,2,2,1,50400,45140
43,"Credit Authorizers, Checkers, and Clerks",3.25,1.75,1,2.25,3.25,1.25,2.62,2.12,3.62,3.5,2.38,1,2.62,1,1,1.88,3.5,3.12,1,2,1,2,2,2,1,46430,38620
43,Customer Service Representatives,3.25,1.38,1.25,2.75,3.12,2,2.75,2.5,4.12,4.12,2.38,1,2.88,1.25,1.38,2.12,3.38,3.62,2,2,3,2,1,2,1,42540,40750
43,Data Entry Keyers,2.88,1.62,1.62,2.12,3,2,2.38,2.38,3.5,3,3.5,1.38,3.38,1.5,1.62,2.38,3.88,3.12,1,1,1,1,1,1,1,39720,38170
43,Desktop Publishers,3.5,1.75,1,3.75,3,2.38,2,2.5,3.62,3.12,3.5,1.38,3.12,1.5,1.38,3.88,3.75,3.62,2,2,2,2,1,2,1,53100,58390
43,"Dispatchers, Except Police, Fire, and Ambulance",3.75,1.12,1,2.88,3,2,2.25,2.62,4,4,2.88,1,3.25,1,1,2.25,3.62,3.62,2,2,2,2,2,2,1,49700,48530
43,"Eligibility Interviewers, Government Programs",3.62,1.12,1,2.75,3.62,1.88,2.62,2.12,4,4.25,2.25,1,2.88,1,1,2.12,3.88,3.88,2,2,3,2,2,1,1,46490,40730
43,Executive Secretaries and Executive Administrative Assistants,3.12,1.25,1.25,3,3,1.88,2.88,2.75,4,4,3.12,1,3,1,1.38,2.25,4,4,1,2,3,2,2,2,1,70110,63950
43,File Clerks,3,1.62,1,2.75,3,2.62,2,2.5,3.88,3.62,3.5,1,3,2,2.12,2.12,4,3.5,1,1,1,1,1,1,1,43020,40870
43,First-Line Supervisors of Office and Administrative Support Workers,3.62,1.5,1.25,3.38,3.5,1.5,2.75,2.5,4.12,4,2.62,1,3,1.38,1.5,2.62,4,3.88,2,2,3,3,2,2,2,64670,67220
43,Freight Forwarders,3.38,1.38,1.5,3,3.12,1.62,3,2.75,3.88,3.88,3.12,1.5,2.88,1.5,1.5,2.88,3.88,3.38,2,2,3,3,2,2,1,48190,54620
43,Gambling Cage Workers,3.25,2,1.38,2.12,3,2.12,3.62,2.62,3.88,3.88,2.88,1.12,3.12,2.12,2,2,3.12,3,1,1,2,2,1,1,1, , 
43,"Hotel, Motel, and Resort Desk Clerks",3,1.5,1.5,2.88,2.88,2.12,2.75,2.12,3.88,3.88,2.12,1,2.88,1.38,1.62,2,3,3,1,1,2,2,2,1,1,30580,30090
43,"Human Resources Assistants, Except Payroll and Timekeeping",3.25,1.38,1,2.88,3,1,2,2.12,4,4,2.5,1,2.62,1,1,2,3.88,3.75,1,2,2,2,2,2,1,47540,43190
43,Insurance Claims and Policy Processing Clerks,3.38,1.62,1,2.38,3.12,1.88,2.62,2.38,3.62,3.5,2.75,1.25,2.88,1.12,1.12,2,3.62,3.38,1,2,2,2,2,2,1,49940,46150
43,"Interviewers, Except Eligibility and Loan",3.25,1.12,1,2.38,3.25,2,2.25,2.25,3.88,4,2,1,3.25,1,1,2.12,3.5,3.38,2,2,3,2,2,2,1,41790,39620
43,Legal Secretaries and Administrative Assistants,3,1.38,1,2.75,2.88,2,2.12,2.12,4,3.88,2.38,1,3.12,1,1,2.25,4,3.88,1,1,1,1,1,2,1,46450,42420
43,"Library Assistants, Clerical",2.88,2,1.12,2.12,2.88,2,2,2.5,3.38,3.62,3,1,3,2,2.12,2.38,3.62,3,1,1,1,1,1,1,1,31970,31880
43,Loan Interviewers and Clerks,3.62,1.25,1,3,3.62,1.38,3.12,2.12,4.12,4,2.75,1,3.12,1,1,2.62,4.12,3.62,2,2,2,2,2,2,1,52090,45260
43,"Mail Clerks and Mail Machine Operators, Except Postal Service",3,2.12,1.75,2,2.88,3.12,2.12,2.12,3.25,3,2.88,2.25,2.88,2.12,2.88,2.25,3.12,2.88,1,1,1,1,1,1,2,36860,34150
43,Medical Secretaries and Administrative Assistants,3.12,1.25,1,2.12,3.12,2,2.12,2.12,4,4,2.12,1,2.88,1,1,2,4,3.12,2,2,1,1,1,2,1,41830,40740
43,"Meter Readers, Utilities",2.75,2.12,1.75,2.12,2.88,2.88,2.62,2.12,3.25,3.25,3.12,2.38,2.88,2.75,2.88,2.25,3,2.75,1,1,1,1,1,1,3,43850,48200
43,New Accounts Clerks,3.25,1.38,1.25,2.62,3.12,1.88,3,2.62,4,4,2.75,1,2.75,1.25,1,2,3.75,3,1,2,1,2,2,1,1,54910,47640
43,"Office Clerks, General",3,1.38,1,2.75,3,1.88,2.75,2.12,3.75,3.88,2.62,1,3,1,1.38,2.12,3.75,3.62,1,1,2,2,1,1,1,41520,38980
43,"Office Machine Operators, Except Computer",2.75,2,1.38,2.12,2.75,2.75,2.75,2,3.12,3.12,2.75,2.25,3,2.12,2.12,2.75,3.62,2.88,1,1,1,1,1,1,3,38760,38120
43,Order Clerks,3.12,1.62,1,2.5,3.12,1.75,2.62,2.25,4,4,3.12,1.38,3,1.12,1,2.12,3.75,3.38,1,2,2,2,1,1,1,43960,42630
43,Payroll and Timekeeping Clerks,3.12,1.38,1,2.12,3.12,2,3.5,2.12,3.88,3.62,2.88,1,3,1,1,2,3.88,3.75,1,2,1,1,1,1,1,52880,51930
43,Postal Service Clerks,3.12,2.12,1.62,2,3,3.12,3,2.25,4,3.88,3,1.62,3,2.5,2.75,2.12,3.38,2.88,1,1,1,2,1,1,2,63500,62750
43,Postal Service Mail Carriers,2.75,2.12,1.75,2,2.75,2.88,1.62,2.12,3,2.88,2.75,2,2.88,2.75,2.88,2,3,2.25,1,1,1,1,1,1,1,60120,59240
43,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3,2.38,1.5,2,2.88,3.38,2,2.12,3,3,3.12,2.5,2.88,2.38,3.12,2,3.12,2.5,1,1,1,1,1,1,2,55800,56940
43,Procurement Clerks,3.5,1.5,1.25,2.88,3.5,1.62,3.12,2,4,4,2.75,1,2.88,1,1.5,2,3.88,3.75,2,2,2,2,2,1,1,49220,48720
43,"Production, Planning, and Expediting Clerks",3.5,1.75,1,2.75,3,2,2.62,1.75,3.88,3.75,3,1.75,3.25,1.5,1.5,2.5,3.62,3.5,2,2,2,2,1,2,2,54080,58550
43,Proofreaders and Copy Markers,3.12,1.38,1,2,2.75,1.88,2,2,3.75,3.5,3.12,1.12,2.88,1,1,2.12,4.38,3.62,1,1,1,1,1,1,1,50560,41450
43,Public Safety Telecommunicators,3.75,1.38,1.38,3,3.5,2.25,2,2.88,4.25,4.38,3,2.5,3.88,1.5,1.62,2.25,3.75,3.25,2,2,2,3,2,1,2,44640,42270
43,Receptionists and Information Clerks,2.62,1.12,1,2.5,2.75,2,2.38,2.5,3.88,4,2.62,1,3,1,1.25,2.12,3.62,3.38,1,2,1,2,2,1,1,34870,35050
43,Reservation and Transportation Ticket Agents and Travel Clerks,3.12,2,1.25,2.88,3,2.12,2.62,2.38,4,4.12,2.75,2,3,2.12,2.38,2.12,3.62,3.12,1,2,2,3,2,2,1,53220,41580
43,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3,1.12,1,2.5,3,2,2,2.12,4,4,2.25,1,3,1,1,2.12,4,4,1,1,1,1,1,2,1,43660,42780
43,"Shipping, Receiving, and Inventory Clerks",3,1.88,1.75,2.75,3,3,2.25,2.12,3.12,3.25,3,2,3,2.25,2.75,2.38,3,3,1,1,1,2,1,1,2,42180,42440
43,Statistical Assistants,3.62,1.5,1,3.12,3.75,1.5,4.62,2.88,3.88,3.75,3,1,3.25,1,1,2.75,4,3.88,2,2,2,2,1,2,1,47400, 
43,"Switchboard Operators, Including Answering Service",3,1.38,1,2,3,2,1.88,2.25,4.12,4.12,2.75,1.12,3.12,1,1,1.88,3,3,1,1,1,1,2,1,1,36650,34460
43,Telephone Operators,2.88,1.5,1,1.88,2.88,2,2,2,4,4.12,2.25,1.88,3,1,1,1.62,3,2.75,1,1,1,1,2,1,1, ,40500
43,Tellers,3.12,1.62,1.25,2.88,3,2.12,3.12,2.12,4,3.88,3,1.88,3.25,1.62,2,2.12,3.25,3.25,1,2,2,2,2,1,1,42820,40270
43,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3.12,2,1.62,2.12,3,2.75,3,2.5,3.25,3.25,3.25,2.38,3.25,2,2.25,2.5,3.38,3.12,1,2,2,2,1,1,1,41420,44820
43,Word Processors and Typists,3,1.5,1,2,2.62,2.12,2.38,2,3.38,3.12,3,1,2.88,1,1,2.5,3.75,3.25,1,1,1,1,1,1,1,50100,44610
